stamp,strategy,chosen_x,chosen_y,information_gain,loop_closure,localization_uncertainty,safety,distance,collisions_vehicules,collisions_pietons,collisions_obstacles,nb_candidats,safety_min,candidats_penalises,info_gain_min,info_gain_max,loop_closure_max
1789302918,weighted,31.958200468574407,-4.673165473090268e-06,0.3463212157729129,0.0,0.12898456956149015,1.0,32.0,0,0,0,4,1.0,0,0.3463212157729129,0.6041560488541275,0.0
1789302926,weighted,49.28128454036208,-6.971818706458244e-06,0.05884715806386825,0.0,0.139550354787151,0.4379821504613642,32.0,0,0,0,4,0.4379821504613642,4,0.05884715806386825,0.6469990672906134,0.0
1789302928,weighted,99.36865112454483,-1.4138087019333057e-05,0.5646475092938824,0.0,0.23477543588868616,0.5776491872262033,64.0,0,0,0,4,0.5776491872262033,4,0.5646475092938824,0.6899934139339643,0.0
1789302934,weighted,117.09999912071217,-1.6488694266847403e-05,0.1956216107652139,0.0,0.42616799312870285,1.0,32.0,0,0,0,3,1.0,0,0.1956216107652139,0.4450111667158748,0.0
1789302936,weighted,174.428625257469,-2.45430224414811e-05,0.6186794258835357,0.0,0.4776818122467719,1.0,64.0,0,0,0,3,1.0,0,0.5676683285466112,0.6436223527157217,0.0
1789302943,weighted,131.4131778682743,7.999981369632129,0.0004518979714802169,0.0,0.6180039949262828,1.0,240.0,0,0,0,2,1.0,0,0.0004418557943362121,0.0004518979714802169,0.0
1789302972,weighted,108.37271256247097,7.999984958808045,0.0,0.5922776233828783,0.6387476774927401,1.0,32.0,0,0,0,2,1.0,0,0.0,0.0,0.5922776233828783
1789302975,weighted,58.28148507351776,7.999992156737835,0.00022953547757725303,0.5815386451102935,0.6574013939451014,1.0,56.0,0,0,0,3,1.0,0,0.00017573810002008435,0.00022953547757725303,0.5936526165227961
1789302981,weighted,30.066774697590013,7.999995816268916,5.02108857200241e-05,0.5949137015431438,0.7328851792143112,1.0,32.0,0,0,0,6,0.9950775039844181,1,3.34739238133494e-05,0.29207114324607797,0.5987633592170254
1789302984,weighted,-7.635754285823208,27.965971112719636,0.047265180424449355,0.0,0.7740885414590266,1.0,64.0,0,0,0,2,1.0,0,0.047265180424449355,0.15424784093191404,0.0
1789302992,weighted,-7.087378873998269,86.42820581841842,0.5986423994023277,0.0,0.8337910753800855,1.0,72.0,0,0,0,3,1.0,0,0.5986423994023277,0.6836368285233179,0.0
1789303035,weighted,-6.859310819593356,110.74291049877102,0.19836647251790854,0.0,0.8571016611560439,1.0,32.0,0,0,0,6,1.0,0,0.19836647251790854,0.6185304901660937,0.0
1789303038,weighted,-6.624188934694818,135.80827728870338,0.21035013724308763,0.0,0.8753903554012534,1.0,32.0,0,0,0,2,1.0,0,0.21035013724308763,0.3306045296482487,0.0
1789303041,weighted,0.16626614215807756,165.38985015099158,0.501929736919697,0.0,0.8962112207330709,1.0,40.0,0,0,0,8,1.0,0,0.36633862221329583,0.7590986314637618,0.0
1789303045,weighted,10.469702023620119,178.1748353308717,0.08756778469572203,0.0,0.9153060196185652,1.0,32.0,0,0,0,8,1.0,0,0.08756778469572203,0.6478459530026109,0.0
1789303047,weighted,30.979680504394015,190.71732345336602,0.18156256276360716,0.0,0.9221792405569853,1.0,32.0,0,0,0,8,1.0,0,0.18156256276360716,0.6743433531945281,0.0
1789303050,weighted,52.14149325644309,197.39992081143308,0.25386623820044185,0.0,0.9266217851132285,1.0,32.0,0,0,0,7,1.0,0,0.25386623820044185,0.6964584588605476,0.0
1789303053,weighted,83.385594267912,199.5330736515115,0.3280277164089175,0.0,0.9281254953632386,1.0,40.0,0,0,0,7,1.0,0,0.19160473990761195,0.6788958068331437,0.0
1789303057,weighted,101.70976363881317,199.85252570420568,0.1954207672223338,0.0,0.9272932473761633,1.0,32.0,0,0,0,7,1.0,0,0.1954207672223338,0.6703264823369263,0.0
1789303059,weighted,127.74009967825259,200.30631645376832,0.34504920666800565,0.0,0.9276787978706512,1.0,32.0,0,0,0,3,1.0,0,0.34504920666800565,0.5414072437571132,0.0
1789303062,weighted,223.81661721150874,110.04892238308094,0.8799457722434224,0.0,0.932620670576978,1.0,192.0,0,0,0,5,1.0,0,0.8799457722434224,0.9135844229976428,0.0
1789303110,weighted,99.8007496079795,7.999986275281902,0.7133862221329584,0.9314744838010196,0.9391461928509754,0.4648463521170535,216.0,0,0,0,5,0.4648463521170535,5,0.6838164736337061,0.7133862221329584,0.9314744838010196
