stamp,strategy,chosen_x,chosen_y,information_gain,loop_closure,localization_uncertainty,safety,distance,collisions_vehicules,collisions_pietons,collisions_obstacles,nb_candidats,safety_min,candidats_penalises,info_gain_min,info_gain_max,loop_closure_max
1789326703,weighted,31.958200468574407,-4.673165473090268e-06,0.3463212157729129,0.0,0.12898456956149015,1.0,32.0,0,0,0,4,1.0,0,0.3463212157729129,0.6041560488541275,0.0
1789326715,weighted,61.58394165701517,-8.730574459381302e-06,0.30242240050514196,0.0,0.13722171572763722,1.0,32.0,0,0,0,3,0.1608154751553375,2,0.30242240050514196,0.6560884051285715,0.0
1789326719,weighted,93.95132167460469,-1.3131526792609094e-05,0.33470448282529275,0.0,0.3318981376758051,1.0,48.0,0,0,0,5,1.0,0,0.33470448282529275,0.632542789173183,0.0
1789326723,weighted,109.1030209570502,-1.516102271303943e-05,0.17044922005757512,0.0,0.4339847672946781,0.5193081107734429,40.0,0,0,0,4,0.5190134944677328,4,0.17044922005757512,0.5040730628634476,0.0
1789326726,weighted,126.85126995171893,-1.780570017650973e-05,0.09128339023900382,0.0,0.5114393492719893,1.0,32.0,0,0,0,1,1.0,0,0.09128339023900382,0.09128339023900382,0.0
1789326728,weighted,177.70044407075665,-2.4590863722639966e-05,0.4899425902584458,0.0,0.5557986641998136,1.0,64.0,0,0,0,5,1.0,0,0.3920775594712511,0.6374143128070564,0.0
1789326734,weighted,120.84399048022412,7.999983029961305,0.0001338956952533976,0.0,0.6444130080896516,1.0,248.0,0,0,0,1,1.0,0,0.0001338956952533976,0.0001338956952533976,0.0
1789326766,weighted,59.94136871956681,7.999991625269616,7.531632858003615e-05,0.5765984170716859,0.6686288970044194,1.0,64.0,0,0,0,2,1.0,0,6.69478476266988e-05,7.531632858003615e-05,0.5804713523337123
1789326773,weighted,39.99587603283135,7.999994554228702,0.0,0.585046186938063,0.7450246348856714,1.0,32.0,0,0,0,8,0.5124935984018275,3,0.0,0.1889937738501707,0.599835851256026
1789326775,weighted,14.046799239640054,7.999998000901507,6.69478476266988e-05,0.5994237852040468,0.7709557305595078,1.0,32.0,0,0,0,4,1.0,0,6.69478476266988e-05,0.23771267896594267,0.5994237852040468
1789326778,weighted,-7.637443798045295,27.785870170878287,0.013607150030126532,0.0,0.8072844536348385,0.8611159432883477,48.0,0,0,0,2,0.14612383225322834,2,0.013607150030126532,0.10122514561156859,0.0
1789326784,weighted,-7.093750291964917,85.74832443072012,0.5561967540287721,0.0,0.8442450085924937,0.5737818660484161,64.0,0,0,0,3,0.5737818660484161,3,0.5561967540287721,0.6432865570347631,0.0
1789326824,weighted,-6.816017058813225,115.35863497445332,0.3210484032938341,0.0,0.867604434047669,0.5471269723866784,40.0,0,0,0,6,0.5243034208173928,6,0.18798955613577026,0.6310628403418652,0.0
1789326828,weighted,-6.660612195963194,131.9258610055016,0.1004217714400482,0.0,0.8916582953621986,0.944081203500615,32.0,0,0,0,3,0.5517458154875547,3,0.1004217714400482,0.27609292361250587,0.0
1789326830,weighted,-6.0352930379085254,147.40621145101773,0.03213496686081543,0.0,0.9045318928471394,0.4590987529905104,32.0,0,0,0,1,0.4590987529905104,1,0.03213496686081543,0.03213496686081543,0.0
1789326832,weighted,1.655186871860177,167.8407064562452,0.05754167503514762,0.0,0.9177744867544166,1.0,32.0,0,0,0,8,0.08576467171724504,7,0.05754167503514762,0.733455513155252,0.0
1789326835,weighted,30.401315354905464,190.45937350669445,0.30478007632054627,0.0,0.9316992024955769,1.0,48.0,0,0,0,8,1.0,0,0.0727053625225949,0.6680279395684096,0.0
1789326840,weighted,58.70614374108189,198.4747276938752,0.5735589475798353,0.0,0.9399202075766642,1.0,56.0,0,0,0,7,1.0,0,0.2798754770034143,0.7848104897713253,0.0
1789326844,weighted,92.51047221375462,199.69214471085968,0.39341233179353285,0.0,0.9405571888708093,0.7461913167101658,40.0,0,0,0,6,0.7308546043453705,6,0.2605944968869251,0.6574501796433911,0.0
1789326848,weighted,109.462035401111,199.9876751775285,0.1176943161277365,0.0,0.9396504047186442,1.0,32.0,0,0,0,6,0.9848478238313206,1,0.1176943161277365,0.6129242819843341,0.0
1789326850,weighted,135.28913930511797,200.4379265610557,0.24653544888531836,0.0,0.9412551959768085,1.0,32.0,0,0,0,2,1.0,0,0.24653544888531836,0.38240610564370353,0.0
1789326853,weighted,223.78512740152894,111.52962766043007,0.8861217111869854,0.0,0.9472775698853348,1.0,184.0,0,0,0,5,1.0,0,0.8861217111869854,0.9129713216562193,0.0
1789326905,weighted,109.02510619790726,7.999984801630974,0.7166800562361919,0.8589172577196436,0.9471412923642564,1.0,216.0,0,0,0,5,1.0,0,0.6995826917497936,0.730133226216777,0.8813710916048342
