stamp,strategy,chosen_x,chosen_y,information_gain,loop_closure,localization_uncertainty,safety,distance,collisions_vehicules,collisions_pietons,collisions_obstacles,nb_candidats,safety_min,candidats_penalises,info_gain_min,info_gain_max,loop_closure_max
1789324538,weighted,31.958200468574407,-4.673165473090268e-06,0.3463212157729129,0.0,0.12898456956149015,1.0,32.0,0,0,0,4,1.0,0,0.3463212157729129,0.6041560488541275,0.0
1789324551,weighted,57.569135292017144,-7.875921486100168e-06,0.21496953872932986,0.0,0.17215189277586676,1.0,32.0,0,0,0,3,0.0003939820726308296,2,0.21496953872932986,0.6680100251059571,0.0
1789324556,weighted,95.32337719098324,-1.3437813571881563e-05,0.45752674074141025,0.0,0.3227550333746369,0.5734804270377349,56.0,0,0,0,5,0.18284159466450017,5,0.45752674074141025,0.6701827170606501,0.0
1789324560,weighted,118.21309935429333,-1.63919776441368e-05,0.2675235991162884,0.0,0.470307460919393,1.0,32.0,0,0,0,2,1.0,0,0.2675235991162884,0.37731113826977875,0.0
1789324563,weighted,180.6234385817766,-2.5157106532613938e-05,0.6480144384191382,0.0,0.5402064706146662,1.0,72.0,0,0,0,4,1.0,0,0.5489576413977042,0.6480144384191382,0.0
1789324571,weighted,127.05327837780777,7.999982597759153,0.0004016870857601928,0.0,0.671236980017726,1.0,248.0,0,0,0,1,1.0,0,0.0004016870857601928,0.0004016870857601928,0.0
1789324609,weighted,111.25113118008112,7.999984281327423,6.69478476266988e-05,0.5954329082178232,0.6808680499320813,1.0,32.0,0,0,0,2,1.0,0,5.02108857200241e-05,6.69478476266988e-05,0.5954329082178232
1789324611,weighted,62.49275500521313,7.999991183519773,0.00017215160818293977,0.5674605365278131,0.6852819922918753,0.8618523254963095,56.0,0,0,0,3,0.8618523254963095,3,0.0001506326571600723,0.00017215160818293977,0.5785820575592278
1789324617,weighted,38.95620927532417,7.99999499545385,5.02108857200241e-05,0.5743629589659434,0.7417305058552554,0.5897446126642929,32.0,0,0,0,5,0.5897446126642929,5,4.016870857601928e-05,6.69478476266988e-05,0.5993953764982878
1789324620,weighted,13.114047492284799,7.999997897042316,0.0,0.5977152788206109,0.7789530227977542,0.5995829665650054,32.0,0,0,0,4,0.01989521089195109,4,0.0,0.22928800964049006,0.5977152788206109
1789324623,weighted,-7.549883804592224,37.120784518978844,0.12175135569391445,0.0,0.8053596319628153,1.0,56.0,0,0,0,2,0.8054365740107187,1,0.014500903795942963,0.12175135569391445,0.0
1789324631,weighted,-7.081699150814041,87.03281976114148,0.5209294650234751,0.0,0.8483465550161081,0.1413517697597821,64.0,0,0,0,4,0.1413517697597821,4,0.5209294650234751,0.6575643683864387,0.0
1789324663,weighted,-6.8683473144941845,109.7786481975737,0.26215103434424586,0.0,0.8689809112901985,1.0,40.0,0,0,0,7,1.0,0,0.13094998995782284,0.6402717535268772,0.0
1789324666,weighted,-6.735383733208122,123.95378510324409,0.12120907812813818,0.0,0.8861164891250253,1.0,32.0,0,0,0,4,1.0,0,0.12120907812813818,0.45888321179619257,0.0
1789324668,weighted,-6.167469771777608,146.44523727375622,0.21938809667269196,0.0,0.8977009978279424,1.0,32.0,0,0,0,1,1.0,0,0.21938809667269196,0.21938809667269196,0.0
1789324672,weighted,-1.4000188524305297,162.42059912897605,0.11059784427930641,0.0,0.9142774770749342,1.0,32.0,0,0,0,8,1.0,0,0.11059784427930641,0.6831738209121299,0.0
1789324674,weighted,11.217689284608358,178.83416719979536,0.21684407846287743,0.0,0.924762891130139,1.0,32.0,0,0,0,8,1.0,0,0.21684407846287743,0.6901653611836379,0.0
1789324678,weighted,29.37214720645105,189.98946662592232,0.2066680056236192,0.0,0.9355248737713232,1.0,32.0,0,0,0,7,1.0,0,0.2066680056236192,0.6506214991854679,0.0
1789324681,weighted,55.9425412466116,198.0765494104137,0.4100220927897168,0.0,0.9403788999094207,1.0,40.0,0,0,0,7,1.0,0,0.266720224944768,0.7071477985316105,0.0
1789324685,weighted,91.91694786389488,199.6817987030172,0.4216509339224744,0.0,0.9425543204650215,1.0,56.0,0,0,0,8,1.0,0,0.06597710383611168,0.6625159001138113,0.0
1789324690,weighted,113.7255915779576,200.0619983963638,0.27448617526946506,0.0,0.942408906497447,1.0,32.0,0,0,0,5,0.34194294106267364,3,0.27448617526946506,0.6194875620463087,0.0
1789324692,weighted,136.49274148845052,200.45889636455394,0.21463479949119635,0.0,0.9454837286006855,1.0,32.0,0,0,0,2,1.0,0,0.21463479949119635,0.3366639887527616,0.0
1789324695,weighted,223.81631262260322,110.06324743462504,0.8755021088572003,0.0,0.9499910648556538,1.0,184.0,0,0,0,5,1.0,0,0.8755021088572003,0.911850826101204,0.0
1789324744,weighted,127.81331952737752,7.9999818687610835,0.7244125326370757,0.8810450718768565,0.965431544694678,0.9120364050991346,192.0,0,0,0,5,0.7795261668174475,5,0.7244125326370757,0.73491391115412,0.8810450718768565
1789324766,weighted,113.6929242456827,7.999983960935361,0.0,0.7629962013393218,0.6781289077444093,1.0,40.0,0,0,0,3,1.0,0,0.0,0.0,0.7987391157279693
1789324768,weighted,95.70744328162883,7.999986737189662,0.0,0.7934227469245201,0.6803854446236968,1.0,32.0,0,0,0,2,1.0,0,0.0,0.0,0.8256250653285904
