stamp,strategy,chosen_x,chosen_y,information_gain,loop_closure,localization_uncertainty,safety,distance,collisions_vehicules,collisions_pietons,collisions_obstacles,nb_candidats,safety_min,candidats_penalises,info_gain_min,info_gain_max,loop_closure_max
1789316596,weighted,31.958200468574407,-4.673165473090268e-06,0.3463212157729129,0.0,0.12898456956149015,1.0,32.0,0,0,0,4,1.0,0,0.3463212157729129,0.6041560488541275,0.0
1789316604,weighted,57.273417496360736,-8.187202899967438e-06,0.197161411260628,0.0,0.1375625563927081,1.0,40.0,0,0,0,4,1.0,0,0.08114079132355895,0.6699230700780352,0.0
1789316607,weighted,99.55649250703087,-1.3812810364166594e-05,0.48290942346203564,0.0,0.2816649452519133,1.0,64.0,0,0,0,5,1.0,0,0.48290942346203564,0.6807960957388554,0.0
1789316612,weighted,117.8676476160605,-1.6606360233151207e-05,0.2600254401820981,0.0,0.4258458027268778,0.4369240574572112,32.0,0,0,0,2,0.4369240574572112,2,0.2600254401820981,0.37837066662164737,0.0
1789316614,weighted,175.42856132210775,-2.4730988791965558e-05,0.6363305036466511,0.0,0.481013051431257,0.4446820907818387,64.0,0,0,0,3,0.4445934376467211,3,0.589273213836176,0.6448313948064714,0.0
1789316621,weighted,131.20856519389233,7.999981845240542,0.0001506326571600723,0.0,0.6174684587339339,1.0,240.0,0,0,0,1,1.0,0,0.0001506326571600723,0.0001506326571600723,0.0
1789316657,weighted,108.64592114092905,7.9999847705957805,6.69478476266988e-05,0.5970674962771915,0.6503116077118405,1.0,40.0,0,0,0,2,1.0,0,6.69478476266988e-05,0.00016067483430407713,0.5970674962771915
1789316660,weighted,59.635090662331336,7.999991421317715,8.607580409146989e-05,0.5916280757826547,0.6658850052545034,1.0,64.0,0,0,0,3,1.0,0,7.531632858003615e-05,8.92637968355984e-05,0.6008280268881191
1789316666,weighted,40.07135442149194,7.999994640076659,0.0,0.5606565525755212,0.7454181240069321,1.0,32.0,0,0,0,8,1.0,0,0.0,0.23770949097319852,0.6001277661330188
1789316668,weighted,14.493748511403371,7.99999781827463,0.0,0.5936927966200881,0.7736424032758031,1.0,32.0,0,0,0,5,1.0,0,0.0,0.28158264711789516,0.5984537683995814
1789316671,weighted,-7.649671892720425,26.481550726592292,0.037256477204257885,0.0,0.7990470406570725,1.0,48.0,0,0,0,3,1.0,0,0.037256477204257885,0.28355760862288276,0.0
1789316678,weighted,-7.114449954373252,83.54204254171103,0.5451101817795574,0.0,0.843788357911004,0.8312223866130235,64.0,0,0,0,3,0.8215313864776177,3,0.5451101817795574,0.6395332736923112,0.0
1789316714,weighted,-6.893147343325685,107.13581685729407,0.20740443194751287,0.0,0.8657206471492391,0.47228054460208774,32.0,0,0,0,6,0.42194354291192826,6,0.20740443194751287,0.6193669840551488,0.0
1789316716,weighted,-6.663460465238101,131.62207364089514,0.3067479934358539,0.0,0.8768099964673272,1.0,32.0,0,0,0,3,1.0,0,0.3067479934358539,0.4894079890441816,0.0
1789316719,weighted,-4.222709484190148,155.32154160047926,0.2904197630046194,0.0,0.8968189054161646,1.0,32.0,0,0,0,8,1.0,0,0.2904197630046194,0.7147004669155078,0.0
1789316722,weighted,7.796682887744375,175.59159376253604,0.20552989221396534,0.0,0.9167432219890794,1.0,32.0,0,0,0,8,1.0,0,0.20552989221396534,0.7246881346098056,0.0
1789316725,weighted,25.94331677877042,188.32091125512144,0.25989154448684476,0.0,0.928319526204442,1.0,32.0,0,0,0,7,1.0,0,0.25989154448684476,0.6510008703220191,0.0
1789316729,weighted,54.14738021129412,197.77573216135414,0.43798955613577023,0.0,0.9332176506097836,1.0,40.0,0,0,0,7,1.0,0,0.3117761263975363,0.7076610653634153,0.0
1789316732,weighted,69.04911511812344,199.2793985413092,0.13928499698734687,0.0,0.9348927106860556,1.0,32.0,0,0,0,8,1.0,0,0.13928499698734687,0.6788511749347258,0.0
1789316734,weighted,94.74301960156453,199.73106335473562,0.39204659570194816,0.0,0.9347899793770642,1.0,32.0,0,0,0,6,1.0,0,0.39204659570194816,0.691482002186963,0.0
1789316737,weighted,119.90945522265707,200.169797905886,0.3845651737296646,0.0,0.9335505899357728,0.35597483300864535,32.0,0,0,0,4,0.30064063024357396,4,0.3845651737296646,0.6159584540785585,0.0
1789316740,weighted,145.5198325535661,200.61627782990976,0.39701747338823057,0.0,0.9364145736267332,0.01600491486079598,32.0,0,0,0,1,0.01600491486079598,1,0.39701747338823057,0.39701747338823057,0.0
1789316743,weighted,223.84310379772995,108.80348966707288,0.8814889201312178,0.0,0.9442545764090644,0.15243146848200964,176.0,0,0,0,5,0.15243146848200964,5,0.8814889201312178,0.9099105130436723,0.0
1789316793,weighted,128.0961879927443,7.999981953738095,0.7069804289125439,0.8969827229421458,0.9427808393689687,1.0,200.0,1,0,0,5,1.0,0,0.7069804289125439,0.7236995380598513,0.8969827229421458
1789316818,weighted,99.42718041248558,7.99998619819365,0.0,0.850803904463305,0.6496157237502763,1.0,32.0,1,0,0,2,1.0,0,0.0,0.0,0.850803904463305
