stamp,strategy,chosen_x,chosen_y,information_gain,loop_closure,localization_uncertainty,safety,distance,collisions_vehicules,collisions_pietons,collisions_obstacles,nb_candidats,safety_min,candidats_penalises,info_gain_min,info_gain_max,loop_closure_max
1789310929,random,39.958192576384924,-5.80789075621535e-06,0.4464527110218694,0.0,0.12898456956149015,1.0,40.0,0,0,0,4,1.0,0,0.3463212157729129,0.6041560488541275,0.0
1789310939,random,107.74923225470465,-1.5253290374328543e-05,0.6807851009132756,0.0,0.14282304734736448,1.0,72.0,0,0,0,2,1.0,0,0.6448507245483921,0.6807851009132756,0.0
1789310947,random,126.03535252175722,-1.764460870234963e-05,0.18678449487848967,0.0,0.4550443936041728,1.0,40.0,0,0,0,2,1.0,0,0.0639686684073107,0.18678449487848967,0.0
1789310949,random,176.06949432129463,-2.4400317563344487e-05,0.5635022708262445,0.0,0.503456131898747,1.0,64.0,0,0,0,3,1.0,0,0.4933696630784888,0.5635022708262445,0.0
1789310955,random,130.05334600630073,7.999981617137895,0.0,0.0,0.6025946893264946,1.0,240.0,0,0,0,2,1.0,0,0.0,0.0,0.0
1789310990,random,97.04734494386541,7.999986362905871,8.033741715203857e-05,0.5750346054764593,0.648026458163454,1.0,40.0,1,0,0,1,1.0,0,8.033741715203857e-05,8.033741715203857e-05,0.5750346054764593
1789310994,random,23.6125482781673,7.999996671272831,0.00022315949208899603,0.5987329822581735,0.6901666815611365,1.0,88.0,1,0,0,5,1.0,0,0.0001338956952533976,0.00022315949208899603,0.5987329822581735
1789311002,random,-7.612204331509967,30.47590495968785,0.05804378389234786,0.0,0.8006096030052906,1.0,64.0,1,0,0,2,1.0,0,0.05804378389234786,0.20623284461404565,0.0
1789311014,random,-6.964095644826287,99.5718483411541,0.6177240461766825,0.0,0.8508313724795218,0.3642868468065786,72.0,3,0,0,3,0.3642868468065786,3,0.5194579603673407,0.6177240461766825,0.0
1789311049,random,-6.13239696312824,146.71364383625996,0.543920795267729,0.0,0.8830741792083534,0.39445993990785666,72.0,3,0,0,5,0.39445993990785666,4,0.13295842538662384,0.543920795267729,0.0
1789311055,random,2.6570737026923257,169.3329639502666,0.21681060453906406,0.0,0.9181073837356212,1.0,48.0,3,0,0,7,1.0,0,0.12191203052821853,0.628966659971882,0.0
1789311058,random,20.033205786940133,185.05051162406704,0.2503180022762268,0.0,0.9332431455075065,1.0,48.0,3,0,0,7,1.0,0,0.11950190801365736,0.6222384012853986,0.0
1789311061,random,55.623504501890004,198.0255292659381,0.5005021088572003,0.0,0.9405963888339973,1.0,64.0,3,0,0,7,1.0,0,0.11916716877552387,0.6597208274753967,0.0
1789311066,random,126.78303550444777,200.28962445857408,0.7094240253509183,0.0,0.9437285265233063,0.15805223318669323,88.0,3,0,0,8,0.026510174319326774,8,0.13255673830086362,0.7094240253509183,0.0
1789311074,random,149.11970717281176,200.67903920572886,0.19113610497422506,0.0,0.9481281452546642,0.4094463168032283,32.0,3,0,0,1,0.4094463168032283,1,0.19113610497422506,0.19113610497422506,0.0
1789311077,random,224.42329622446465,81.5221096295841,0.8983508513534623,0.0,0.9535355936753113,1.0,200.0,3,0,0,5,1.0,0,0.8753698868581375,0.9039862157905307,0.0
1789311130,random,102.29950246354123,7.999985539613522,0.6800450782174018,0.7592316147221246,0.9460916303476907,0.8201109702758903,200.0,3,0,0,5,0.8123195659315695,5,0.6558169311106647,0.6866729151324451,0.7592316147221246
