stamp,strategy,chosen_x,chosen_y,information_gain,loop_closure,localization_uncertainty,safety,distance,collisions_vehicules,collisions_pietons,collisions_obstacles,nb_candidats,safety_min,candidats_penalises,info_gain_min,info_gain_max,loop_closure_max
1789304700,random,55.95819204909298,-7.849439350726684e-06,0.0,0.0,0.0,1.0,56.0,0,0,0,4,1.0,0,0.0,0.0,0.0
1789304711,random,123.79724886311475,-1.728437525305715e-05,0.6662830587502052,0.0,0.24579140400781568,0.4913580088310684,88.0,0,0,0,5,0.49083212951322963,5,0.4310194244397899,0.6662830587502052,0.0
1789304720,random,164.39800731733843,-2.3168850226351623e-05,0.5185443944877827,0.0,0.4850583218990016,1.0,56.0,0,0,0,4,1.0,0,0.5185443944877827,0.6320678920096595,0.0
1789304725,random,126.4069279091214,7.999981938378829,0.0004016870857601928,0.0,0.5877786821876603,1.0,248.0,0,0,0,1,1.0,0,0.0004016870857601928,0.0004016870857601928,0.0
1789304756,random,107.4240822764686,7.999984684580177,0.0,0.5469078330581029,0.5816109077750098,1.0,40.0,0,0,0,3,1.0,0,0.0,0.0001338956952533976,0.5828503026072903
1789304759,random,33.7210824749991,7.999995077922896,8.92637968355984e-05,0.5726381041144533,0.588244829436356,1.0,88.0,0,0,0,3,1.0,0,8.92637968355984e-05,0.00011476773878862652,0.5894209550725578
1789304767,random,11.93711261270253,7.999998531101188,0.0,0.5973612952701771,0.6721748282736588,0.6782904294612114,32.0,0,0,0,3,0.6782904294612114,1,0.0,0.13571285111755085,0.5973612952701771
1789304770,random,-7.624732269193042,29.140577440885647,0.03419361317533641,0.0,0.6987592966381191,1.0,48.0,0,0,0,2,1.0,0,0.03419361317533641,0.15428800964049005,0.0
1789304776,random,-7.004206128051672,95.29469489390793,0.6403964835963107,0.0,0.7451235059439593,0.1826052452276163,72.0,0,0,0,2,0.16769621289747577,2,0.6004266729788923,0.6403964835963107,0.0
1789304821,random,-6.730540277262648,124.4713559724143,0.4271291266069334,0.0,0.7848289845066669,0.46260407939761167,40.0,0,0,0,5,0.46260407939761167,5,0.32993573006627835,0.6272666246344614,0.0
1789304825,random,-6.519224491571315,142.4854402831745,0.3033741715203856,0.0,0.8117684774662344,0.5658363721893934,32.0,0,0,0,2,0.452813802486887,2,0.3033741715203856,0.4414836044721162,0.0
1789304827,random,-0.024244838722160544,165.05264703851245,0.3365849872688449,0.0,0.8304308571921686,1.0,32.0,0,0,0,7,0.03250356306336505,5,0.3365849872688449,0.7336368302425744,0.0
1789304830,random,42.623444040912425,195.02902697787343,0.5955513155252059,0.0,0.8525441070375746,0.07084703433542046,64.0,0,0,0,7,0.019740965944684313,7,0.2948383209479815,0.6806587668206467,0.0
1789304836,random,83.7247010065039,199.5389783684206,0.6111669009841334,0.0,0.8733597932419196,1.0,56.0,0,0,0,6,1.0,0,0.38170315324362325,0.6838499475575194,0.0
1789304841,random,144.04570195877815,200.590580299735,0.6811720336524514,0.0,0.8812124472388767,1.0,64.0,0,0,0,5,0.877260183231425,2,0.45318337015464955,0.6811720336524514,0.0
1789304849,random,224.54723144778967,75.6945295336933,0.9061502756019727,0.0,0.9059587416900204,1.0,216.0,0,0,0,5,1.0,0,0.8711655620271809,0.9061502756019727,0.0
1789304904,random,108.25286429380695,7.999984977695077,0.6188435875119948,0.7496358635500646,0.9347782177226086,1.0,192.0,0,0,0,5,1.0,0,0.5244694383075584,0.6319912051669645,0.7607907825870001
