stamp,strategy,chosen_x,chosen_y,information_gain,loop_closure,localization_uncertainty,safety,distance,collisions_vehicules,collisions_pietons,collisions_obstacles,nb_candidats,safety_min,candidats_penalises,info_gain_min,info_gain_max,loop_closure_max
1789313471,weighted,31.958200468574407,-4.673165473090268e-06,0.3463212157729129,0.0,0.0062781853820340116,1.0,32.0,0,0,0,4,1.0,0,0.3463212157729129,0.6041560488541275,0.0
1789313479,weighted,56.79553520805068,-7.958206141855939e-06,0.1912700006694785,0.0,0.13204314489856334,1.0,40.0,0,0,0,4,1.0,0,0.07762602932315726,0.660822330647733,0.0
1789313482,weighted,98.44495647384417,-1.3911989396486746e-05,0.48466223604333064,0.0,0.27769931488381305,1.0,64.0,0,0,0,5,1.0,0,0.48466223604333064,0.6839769016556686,0.0
1789313487,weighted,116.00365490057409,-1.618384601931311e-05,0.23103702215973754,0.0,0.41956980244646064,1.0,32.0,0,0,0,3,1.0,0,0.23103702215973754,0.4580194807067115,0.0
1789313489,weighted,174.43962043861336,-2.435333736494627e-05,0.6545889869621988,0.0,0.47460161015427266,1.0,64.0,0,0,0,3,1.0,0,0.6100999235694368,0.6717008581370476,0.0
1789313496,weighted,131.72673517269806,7.999982052863439,0.0003012653143201446,0.0,0.6149146982351155,1.0,240.0,0,0,0,2,1.0,0,0.0003012653143201446,0.00032134966860815426,0.0
1789313537,weighted,103.20786031613497,7.999985605123706,4.016870857601928e-05,0.5870792943184298,0.6490619912707295,1.0,32.0,1,0,0,2,1.0,0,4.016870857601928e-05,6.69478476266988e-05,0.5984425594419933
1789313540,weighted,61.613933825216634,7.99999167388793,6.69478476266988e-05,0.5964605984713169,0.6734593290077925,1.0,48.0,1,0,0,4,1.0,0,4.46318984177992e-05,6.69478476266988e-05,0.5964605984713169
1789313545,weighted,43.83605659406273,7.999993825627132,0.0,0.5981745945011849,0.7395851638630435,1.0,40.0,1,0,0,5,0.48486859623803474,4,0.0,0.0,0.6001939033938536
1789313547,weighted,26.01796796497019,7.999996203472568,0.0,0.5942937895301197,0.7658915174447158,0.258629854811518,32.0,1,0,0,5,0.258629854811518,4,0.0,0.19004820245029122,0.5977669813128427
1789313549,weighted,-7.682743001084714,22.95704875954813,0.016268326973287808,0.0,0.7906665094944346,0.9575742011678201,56.0,1,0,0,3,0.12217341041815898,3,0.016268326973287808,0.22096137109191938,0.0
1789313556,weighted,-7.074154671148261,87.83747318772315,0.7015993416570427,0.0,0.8494117666577052,0.09285191252897945,72.0,1,0,0,2,0.09285191252897945,2,0.7015993416570427,0.7314879372895924,0.0
1789313590,weighted,-6.910934921061773,105.23824479457322,0.18859208676441053,0.0,0.8731621632724939,0.9292509471068333,40.0,1,0,0,6,0.9206379436613858,6,0.18859208676441053,0.6121671466167292,0.0
1789313592,weighted,-6.7507410736827715,122.31749369254207,0.17399745598179017,0.0,0.884685090214979,1.0,32.0,1,0,0,4,1.0,0,0.17399745598179017,0.48614527358082577,0.0
1789313594,weighted,-6.0969656342968,146.9743949875111,0.2923277766619803,0.0,0.8985541450604602,1.0,32.0,1,0,0,1,1.0,0,0.2923277766619803,0.2923277766619803,0.0
1789313597,weighted,2.370043909017948,168.91684157856315,0.3314016408650711,0.0,0.9132528725664374,1.0,32.0,1,0,0,7,1.0,0,0.3314016408650711,0.7297315391310168,0.0
1789313600,weighted,19.284520575153422,184.59829997787958,0.33957622012452304,0.0,0.9294256814950828,1.0,32.0,1,0,0,7,1.0,0,0.33957622012452304,0.6907902077614871,0.0
1789313603,weighted,41.11230099619633,194.56032915198207,0.38295842538662384,0.0,0.9378709866193615,1.0,32.0,1,0,0,6,1.0,0,0.38295842538662384,0.6608645198723528,0.0
1789313606,weighted,64.06675133050523,199.0258013040079,0.4319642498493673,0.0,0.9408840582902367,1.0,32.0,1,0,0,6,1.0,0,0.4319642498493673,0.701925866416728,0.0
1789313609,weighted,89.60441053156316,199.64148682697282,0.3743723639284997,0.0,0.9411927214757209,1.0,32.0,1,0,0,6,1.0,0,0.3743723639284997,0.6782486443060856,0.0
1789313612,weighted,115.84344814422981,200.0989139025148,0.39154448684474796,0.0,0.9400369829710227,1.0,32.0,1,0,0,5,1.0,0,0.39154448684474796,0.654072102831894,0.0
1789313615,weighted,141.48409439627724,200.5459222694853,0.3498694516971279,0.0,0.9423620923124041,1.0,32.0,1,0,0,2,1.0,0,0.3498694516971279,0.45969070094396464,0.0
1789313618,weighted,223.7664833843646,112.40627803811053,0.8709781080538261,0.0,0.9495202433074691,1.0,176.0,1,0,0,5,1.0,0,0.8709781080538261,0.9027694092968245,0.0
1789313666,weighted,126.72983990173799,7.999982151031736,0.7100935038271853,0.9165689898069943,0.9490507296760118,1.0,208.0,1,0,0,5,1.0,0,0.7100935038271853,0.7348769594200404,0.9165689898069943
