timestamp,gt_x,gt_y,est_x,est_y,error,z_drift
1789312621.9374423,0.0,-0.0,0.0,-0.0,0.0,0.0
1789312618.8224454,-2.29258053334523,0.012125993386982871,-2.262058505223354,0.00466885802370863,0.03141978784935979,-0.22651050239801407
1789312619.8731983,-2.29258053334523,0.012125993386982871,-2.2405704443038132,0.00396070881664776,0.05264713889862044,0.0005501559935510159
1789312620.9305093,-1.8427558182259032,0.009309792303415151,-1.8254140126921063,-9.315554623009689e-05,0.019726977655869497,0.00020774872973561287
1789312623.03561,3.16799919755416,-0.010853808030329763,3.2079541772895785,-0.010707325726177712,0.03995524825005001,8.655572310090065e-05
1789312624.0372372,7.283044049595864,-0.03620343885068701,7.310489880781762,-0.041010533853875715,0.02786362883499735,8.003273978829384e-05
1789312625.1346698,12.796493978205065,-0.0746016814025335,12.828439018237265,-0.07475669911971652,0.031945416152423314,-0.0005829618312418461
1789312626.1449819,17.874890760471093,-0.10848390656065277,17.90661362425606,-0.11255718704305628,0.03198330346615126,-0.0005265423096716404
1789312627.248781,23.732125102193006,-0.14935478376114297,23.721579050805204,-0.15072983990717637,0.010635317544808358,0.00022319797426462173
1789312628.2518709,30.641011684671746,-0.19283602816070244,30.81090754205993,-0.19710548277480613,0.16994949426334877,-0.00015422794967889786
1789312629.3451347,39.249604272667014,-0.2481596210946464,39.25809793394747,-0.25485623363467597,0.010816048329143381,-0.0002494426444172859
1789312630.4518592,48.70627598124045,-0.30808810851746093,48.71932845539954,-0.31149864687976897,0.013490695074548956,-0.000292816199362278
1789312631.48909,58.409925485368305,-0.3685915542000101,58.41578312261041,-0.3784536927893063,0.011470557598239933,-0.00032890308648347855
1789312632.5457244,68.6782876527942,-0.4319339369325913,68.68714892314925,-0.4449631685780679,0.015756998114389346,-0.0036039730766788125
1789312633.5781677,79.42350122839943,-0.49660641578705855,79.41406525020342,-0.516972162854226,0.022445519332806786,-0.005705108342226595
1789312634.6417773,90.58320955525558,-0.5688462971241257,90.61307728686306,-0.5955090066640055,0.0400372510468008,-0.00024158461019396782
1789312635.642531,101.53778292683627,-0.6380660640505033,101.54164098002076,-0.6591447429827563,0.02142884224365233,-0.0004287334159016609
1789312636.64616,112.77272880462064,-0.7078138721855534,112.81589852951844,-0.7242238993205999,0.04618348339313723,-0.00024330103769898415
1789312637.7439122,126.38227084774422,-0.7928062147656105,126.43640800505422,-0.8019455911944492,0.05490318754967849,-0.00028041843324899673
1789312638.7787735,140.05254063627552,-0.8781564678969778,140.04080027040033,-0.8790818946647339,0.011776782480202239,-0.02060397993773222
1789312639.8783593,154.89046483479595,-0.967051913417373,155.00520963282221,-0.995701755373554,0.11826741782165792,-0.010673522483557463
1789312640.9408646,169.5979461179777,-1.0644999797728452,169.6237392362669,-1.06655870376214,0.02587514822267764,-0.0002807234413921833
1789312642.0399606,185.5058590370457,-1.1646271988879489,185.50727238279165,-1.154334655214275,0.010389129004498133,-0.0003716275095939636
1789312643.041357,200.28467263362919,-1.8769730440419998,200.17316011963194,-3.019205028366941,1.1476623836272049,-0.0005998611450195312
1789312644.13872,212.4294856099805,-10.686847727385096,210.2970838353196,-15.886783790279276,5.62018437302233,-0.0006668088026344776
1789312645.2384968,219.48441265022473,-24.13859510694898,215.4415073860368,-29.150371969258302,6.439176212278835,-0.0005884929560124874
1789312646.2786362,221.26795704256557,-38.644654711801515,215.28022633689056,-44.06124496296342,8.074179150394516,-0.00044761644676327705
1789312647.337094,221.00846399315603,-53.64196745420627,214.73604897964736,-58.96749019328496,8.228267286988986,-0.00037467945367097855
1789312648.4338703,220.74833045818983,-69.8165418664564,214.3875711554451,-75.16283270779329,8.309156676078276,-0.0003807828761637211
1789312649.478043,220.49498791851835,-85.66541487573987,214.01874706625998,-91.07760382637234,8.439993176170725,-0.0003936765715479851
1789312650.6393688,220.21153861651752,-103.43818278152088,213.75001668184441,-101.5921403664644,6.72005493358865,-0.0018002316355705261
1789312651.6804266,219.94672022104496,-119.94547488170157,213.35943957619648,-118.09277219202792,6.8428629644556915,-0.0011094282381236553
1789312652.7374554,219.7085242166588,-134.84733473655427,213.00043520682814,-132.96149723521097,6.9681303981257,-0.0004121013917028904
1789312653.836567,219.45315207451804,-150.8135927607716,212.62571178222166,-148.91904429686468,7.0854255219403885,-0.00037437397986650467
1789312654.8963122,219.20195335372043,-166.483691342712,212.27655384306235,-164.5942773190534,7.178512640862384,-0.0020663831382989883
1789312655.9332793,219.04101851227048,-181.55317607514905,212.3006353532987,-179.64994410898683,7.003931542124904,-0.0024617002345621586
1789312656.935879,222.7049102715074,-192.93879484280194,218.31027951351513,-189.5635311673859,5.541225891233348,-0.0007034679874777794
1789312658.0379465,233.14258803787794,-200.27388787182278,234.72963747233476,-196.1519793610137,4.416883027530841,-0.0007438277825713158
1789312659.1347427,246.10084568206483,-201.34519777290038,246.90507413840652,-195.8686239635723,5.535308853081998,-0.00036964379251003265
1789312660.2352087,259.7904305302196,-201.46598642298716,260.6541410260806,-196.08501200918735,5.44985150830998,-0.00030521396547555923
1789312661.335591,274.15389456270253,-201.69279202403078,274.95563517123185,-196.28179575768783,5.470070255283956,-0.00032810214906930923
1789312662.3403695,287.4357916807529,-200.05460194094573,288.0106959981333,-193.24193734705233,6.836878954832488,-0.0005089566111564636
1789312663.4409075,300.0695976142134,-192.58804693109008,297.1412068774274,-186.36065964145632,6.881556856001857,-0.0005939481779932976
1789312664.539685,308.12536971402585,-180.3381880322104,302.6481649022629,-173.78014410851563,8.544455082397535,-0.0005979156121611595
1789312665.5502787,310.45188385724,-167.12409110395376,302.10785188409426,-163.13291568643945,9.249451377365501,-0.00045658089220523834
1789312666.643703,311.06300594059576,-151.9117468619855,300.73929283949604,-148.14165268405154,10.99057151854759,-0.00035762786865234375
1789312667.7523544,311.36320691313387,-136.1742038015499,300.0671928177232,-131.2612484839419,12.318159943616958,0.021620292216539383
1789312668.8437543,311.22349187243987,-119.95366746911046,298.9861325032999,-115.09408841853667,13.166946224476373,0.0682213231921196
1789312669.846288,311.04832610534345,-104.76291184386248,297.97453718357633,-99.81618418171958,13.97834293950218,0.3090948536992073
1789312670.9362905,310.85138883450736,-87.4920513793911,296.82330408249885,-82.62536063441915,14.848294198887942,0.7016636207699776
1789312672.0350814,310.6486911686957,-69.71402729019051,295.64936688380726,-64.98058603931139,15.728483559414352,0.8677155449986458
1789312673.0392044,310.46167952117725,-53.32734173270462,294.5505231433226,-48.72928081387853,16.562217891749285,0.6897296383976936
1789312674.046132,310.27368055532435,-36.84449260439973,293.42413913697965,-32.231116673776114,17.46969614749412,0.44618893414735794
1789312675.140176,310.0658054366119,-18.61239860192275,292.2020019401625,-14.094998448048049,18.42613305905461,0.18276076763868332
1789312676.2384357,309.8686595196639,-1.3570549068018942,291.0404220519048,3.2265554846647855,19.37813227230862,0.03074546903371811
1789312677.3438067,309.6866117540019,14.634444768856788,289.9781561192066,19.17487402992554,20.22470571809302,-0.004512023646384478
1789312678.4344327,309.50084020429,31.055817995182014,288.8817377548643,35.48059553655257,21.0885286852955,-0.07997860014438629
1789312679.4387326,309.3254497007035,46.261037546638974,287.8614510080584,50.632878480020466,21.904708010486228,-0.35015919059515
1789312680.4786828,309.1422364835296,62.34373232392416,286.7865308168489,66.74853406941381,22.785518521032795,-0.7621660754084587
1789312681.53806,308.9562439978334,78.64289138696981,285.6923119577184,83.15491251402248,23.697444347820674,-0.8060477301478386
1789312682.59772,308.76568161912866,95.34985924571552,284.59137805713124,99.8621799469944,24.59182772424187,-0.5239523574709892
1789312683.6351373,308.5707828178876,112.4465288766338,283.47435263242886,116.9085498638881,25.49000665641936,-0.22562336176633835
1789312684.6362715,308.44286570251415,123.62501600369698,282.7333904627134,128.0762146294125,26.091958269005055,-0.08167171478271484
1789312685.677279,308.4166613027304,125.30080077699242,282.6244263484297,129.62741455805562,26.152609253157436,-0.0686819851398468
1789312686.678698,308.3803064064499,125.60574115227375,282.59979413391653,129.87553299280322,26.13170364510695,-0.0655011348426342
1789312687.7361226,308.1993920055336,126.7887628178888,282.41190544262093,131.05093302741568,26.13734030324009,-0.05807865038514137
1789312688.7782407,307.7369089703246,128.64276664260962,281.9086653696671,132.8625114018764,26.170678503398847,-0.05272556096315384
1789312689.7786694,306.89576740089916,130.80323344106733,280.98676367909604,134.9647909076077,26.24109438273727,-0.04713233932852745
1789312690.8339734,305.42923471487666,133.4472885176885,279.3439554688822,137.5553251355113,26.406774854095346,-0.04005119204521179
1789312691.8409429,303.1018427366339,135.91581210839703,276.8337671896268,139.82032993293845,26.556676230007255,-0.033423423767089844
1789312692.9383948,299.5290876400856,137.872850635746,273.1169909914513,141.44179672602726,26.65213360262426,-0.027440451085567474
1789312693.9504354,295.4977086445738,138.9601376591386,269.08131431626674,142.14936467522804,26.608214112727797,-0.02349304035305977
1789312695.0407789,290.2541149481219,139.44657859308853,263.88385180023516,142.19174891520214,26.512765577853393,-0.00457099883351475
1789312696.0781548,284.911376495764,139.4668246226667,258.6560679498827,141.83910243263716,26.362263348337628,-0.00048473337665200233
1789312697.2377784,279.02030857760576,139.3015485857033,252.78256446765835,141.33191132737159,26.316184921865766,-0.00047813402488827705
1789312698.2425587,273.54349383048793,139.11302715242667,247.32120375137995,140.8433221348787,26.279315396699044,0.00046287570148706436
1789312699.3414483,265.76771725198506,138.85126443640877,239.58434657655545,140.19050064076487,26.217598164935048,-0.00019126851111650467
1789312700.3517408,257.8315153357697,138.6004692716801,231.6914291004639,139.53916754531255,26.156935272278094,-0.00027324678376317024
1789312701.437006,250.82177720260847,138.3829550403834,224.76895955724933,138.97884202238112,26.059631397194607,-0.0007505035027861595
1789312702.4786143,250.8276998798361,138.3831590443944,224.66527945761948,138.97096110947592,26.16902278680906,-0.0003604888916015625
1789312703.547548,250.8276998798361,138.3831590443944,224.68996224220143,138.9722075525519,26.144374288913223,-0.0003604888916015625
1789312704.6379786,250.8276998798361,138.3831590443944,224.6644812169503,138.97028003095772,26.169805537199537,-0.0003604888916015625
1789312705.6423402,250.8276998798361,138.3831590443944,224.69159862839282,138.97273017651833,26.142750099129373,-0.0003604888916015625
1789312706.7393928,250.8276998798361,138.3831590443944,224.66846803957492,138.97087776831495,26.16583313733735,-0.0003604888916015625
1789312707.7403872,250.8276998798361,138.3831590443944,224.6749552144293,138.97116809132459,26.15935412377828,-0.0003604888916015625
1789312708.842533,250.8276998798361,138.3831590443944,224.67832977920372,138.97149544657577,26.155987773012484,-0.0003604888916015625
1789312709.9376826,250.8276998798361,138.3831590443944,224.68534993126522,138.97162944972249,26.148972412916933,-0.0003604888916015625
1789312710.93879,250.8276998798361,138.3831590443944,224.65320748451998,138.96849727425203,26.1810365149242,-0.0003604888916015625
1789312711.952162,250.8276998798361,138.3831590443944,224.67871891986817,138.9704093239616,26.155574322419632,-0.0003604888916015625
1789312713.0450542,250.82797413035675,138.38320720305165,224.64162015636288,138.96769329757808,26.192876101069917,0.002613754477351904
1789312714.0795035,250.83527563625142,138.38343843501642,224.6601580687724,138.96959309126365,26.181679796231354,-0.0002008434385061264
1789312715.1503596,250.8256834909434,138.38318731970838,224.66417135231978,138.96961079535322,26.168083802069606,-0.00038455938920378685
1789312716.239884,250.4291764073125,138.37133762603997,224.27909325717556,138.9393751901941,26.15625193779426,6.0996972024440765e-05
1789312717.3538542,248.7433185565423,138.32118014419132,222.64297369256153,138.81043574801848,26.104930052857913,1.2435950338840485e-05
1789312718.4330719,245.77620004864062,138.2266966122149,219.69316232747482,138.5724272284086,26.08532894986627,0.0001086047850549221
1789312719.443967,241.80968879789103,138.03022708218063,215.72828949272218,138.16330742756662,26.081738824203995,6.275204941630363e-05
1789312720.4448924,236.93787162639785,137.50121051720814,210.961359158263,137.33240423567295,25.977060949380913,-0.0005141445435583591
1789312721.475995,231.72564468787078,136.29726249912127,206.00789816434977,135.72236072907114,25.724171479238823,-0.0006053922697901726
1789312722.4972746,227.26325373803485,133.86021356556677,202.12746961288764,132.96170160126405,25.151838249638885,-0.0006353375501930714
1789312723.5759492,223.6302632332476,129.71015306082563,199.39170341192454,128.78260052680773,24.256300952849752,-0.0006030271761119366
1789312724.576488,222.22873902936985,124.91185746096278,198.77146569621266,124.45490874229709,23.461723601601346,-0.0006145858205854893
